timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1761047769.961494,31.85866212844849,170.64,None,16,140,PID,109.36,30.64,-564,0,None,39,None,164
1761047770.157448,32.05240201950073,88.84,None,39,140,PID,191.16,-51.16,-589,0,None,39,None,165
1761047770.355207,32.25593709945679,70.72,None,61,140,PID,209.28,-69.28000000000001,-632,0,None,39,None,166
1761047770.541331,32.43863821029663,205.28,None,7,140,PID,74.72,65.28,-628,0,None,39,None,167
1761047770.726411,32.62647199630738,140.64,None,7,140,PID,139.36,0.6400000000000006,-624,0,None,39,None,168
1761047770.917474,32.81855416297913,-26.6,None,89,140,PID,306.6,-166.6,-705,0,None,39,None,169
1761047771.11461,33.0155131816864,221.52,None,14,140,PID,58.48000000000001,81.51999999999999,-712,0,None,39,None,170
1761047771.302931,33.19970703125,139.44,None,10,140,PID,140.56,-0.5599999999999996,-714,0,None,39,None,171
1761047771.521086,33.41698408126831,140.68,None,7,140,PID,139.32,0.6800000000000015,-713,0,None,39,None,172
1761047771.723725,33.6244330406189,135.08,None,8,140,PID,144.92,-4.919999999999999,-713,0,None,39,None,173
1761047771.921361,33.81821608543396,42.44,None,54,140,PID,237.56,-97.56,-759,0,None,39,None,174
1761047772.103804,34.00001502037048,110.04,None,47,140,PID,169.96,-29.96,-799,0,None,39,None,175
1761047772.291787,34.18763303756714,179.6,None,8,140,PID,100.4,39.59999999999999,-800,0,None,39,None,176
1761047772.47418,34.3748459815979,41.40000000000001,None,54,140,PID,238.6,-98.59999999999999,-785,0,None,39,None,177
1761047772.665951,34.56676602363586,68.72,None,68,140,PID,211.28,-71.28,-782,0,None,39,None,178
1761047772.85286,34.75031304359436,206.0,None,9,140,PID,74.0,66.00000000000001,-720,0,None,39,None,179
1761047773.041992,34.93873715400696,139.8,None,8,140,PID,140.2,-0.1999999999999986,-655,0,None,39,None,180
1761047773.241145,35.13790702819824,53.52,None,51,140,PID,226.48,-86.48000000000001,-632,0,None,39,None,181
1761047773.443781,35.34077620506287,187.76,None,11,140,PID,92.24,47.76000000000001,-566,0,None,39,None,182
1761047773.633261,35.52859902381897,148.48,None,8,140,PID,131.52,8.479999999999999,-498,0,None,39,None,183
1761047773.853944,35.75020909309387,149.48,None,7,140,PID,130.52,9.48,-433,0,None,39,None,184
1761047774.062711,35.96268320083619,151.04,None,7,140,PID,128.96,11.04,-364,0,None,39,None,185
1761047774.286071,36.18263912200928,143.2,None,12,140,PID,136.8,3.200000000000001,-310,0,None,39,None,186
1761047774.482111,36.37831401824951,124.8,None,24,140,PID,155.2,-15.2,-320,0,None,39,None,187
1761047774.670513,36.56767606735229,140.56,None,23,140,PID,139.44,0.5600000000000012,-336,0,None,39,None,188
1761047774.86491,36.76013612747193,134.68,None,25,140,PID,145.32,-5.32,-353,0,None,39,None,189
1761047775.052854,36.94867515563965,128.24,None,29,140,PID,151.76,-11.76,-374,0,None,39,None,190
1761047775.236255,37.13733720779419,154.6,None,18,140,PID,125.4,14.6,-385,0,None,39,None,191
1761047775.435432,37.3358371257782,96.12000000000002,None,40,140,PID,183.88,-43.88,-417,0,None,39,None,192
1761047775.652446,37.54952907562256,143.64,None,29,140,PID,136.36,3.640000000000001,-439,0,None,39,None,193
1761047775.845958,37.74202513694763,99.0,None,44,140,PID,181.0,-41.00000000000001,-475,0,None,39,None,194
1761047776.026308,37.9267110824585,105.32,None,49,140,PID,174.68,-34.68,-517,0,None,39,None,195
1761047776.225826,38.12622809410096,142.32,None,33,140,PID,137.68,2.32,-542,0,None,39,None,196
1761047776.407197,38.3078579902649,54.75999999999999,None,66,140,PID,225.24,-85.24000000000001,-601,0,None,39,None,197
1761047776.603217,38.50068402290344,181.84,None,22,140,PID,98.16000000000001,41.84,-614,0,None,39,None,198
1761047776.793481,38.68827509880066,148.88,None,12,140,PID,131.12,8.880000000000003,-618,0,None,39,None,199
1761047777.005317,38.8988561630249,28.64,None,65,140,PID,251.36,-111.36,-674,0,None,39,None,200
1761047777.203958,39.10479307174683,84.07999999999999,None,68,140,PID,195.92,-55.92000000000001,-728,0,None,39,None,201
1761047777.396176,39.29699110984803,210.08,None,8,140,PID,69.92000000000001,70.08,-668,0,None,39,None,202
1761047777.583896,39.47959899902344,137.04,None,10,140,PID,142.96,-2.959999999999999,-594,0,None,39,None,203
1761047777.79519,39.6959400177002,-11.12000000000001,None,85,140,PID,291.12,-151.12,-608,0,None,39,None,204
1761047777.981388,39.87867403030396,204.36,None,22,140,PID,75.64,64.36,-621,0,None,39,None,205
1761047778.15749,40.0580530166626,154.96,None,10,140,PID,125.04,14.96,-566,0,None,39,None,206
1761047778.361103,40.25835013389588,149.64,None,7,140,PID,130.36,9.640000000000002,-489,0,None,39,None,207
1761047778.561367,40.45833611488343,140.8,None,11,140,PID,139.2,0.8000000000000016,-420,0,None,39,None,208
1761047778.763932,40.65840005874634,54.44,None,57,140,PID,225.56,-85.56000000000001,-399,0,None,39,None,209
1761047778.953245,40.85015606880188,146.92,None,39,140,PID,133.08,6.919999999999998,-367,0,None,39,None,210
1761047779.142147,41.0368402004242,187.32,None,9,140,PID,92.68000000000001,47.32,-317,0,None,39,None,211
1761047779.344843,41.23808407783509,16.76000000000001,None,76,140,PID,263.24,-123.24,-331,0,None,39,None,212
1761047779.543095,41.43967413902283,113.32,None,68,140,PID,166.68,-26.68,-327,0,None,39,None,213
1761047779.754929,41.65475606918335,106.56,None,67,140,PID,173.44,-33.44,-306,0,None,39,None,214
1761047779.935226,41.83578419685364,138.2,None,50,140,PID,141.8,-1.800000000000004,-335,0,None,39,None,215
1761047780.125062,42.02098512649536,139.36,None,39,140,PID,140.64,-0.6400000000000006,-346,0,None,39,None,216
1761047780.313887,42.2095000743866,86.36000000000001,None,59,140,PID,193.64,-53.64000000000001,-341,0,None,39,None,217
1761047780.504644,42.39980697631836,127.12,None,51,140,PID,152.88,-12.88,-322,0,None,39,None,218
1761047780.691317,42.58775401115417,155.8,None,32,140,PID,124.2,15.8,-315,0,None,39,None,219
1761047780.878777,42.77011013031006,31.0,None,83,140,PID,249.0,-109.0,-315,0,None,39,None,220
1761047781.077843,42.97337317466736,212.12,None,24,140,PID,67.88,72.12000000000001,-267,0,None,39,None,221
1761047781.267357,43.16818904876709,175.64,None,8,140,PID,104.36,35.64,-209,0,None,39,None,222
1761047781.475337,43.36976218223572,37.44,None,67,140,PID,242.56,-102.56,-234,0,None,39,None,223
1761047781.666386,43.56448817253113,69.52,None,86,140,PID,210.48,-70.48000000000001,-252,0,None,39,None,224
1761047781.880793,43.77807307243347,245.28,None,11,140,PID,34.72,105.28,-178,0,None,39,None,225
1761047782.06583,43.96600198745728,160.28,None,10,140,PID,119.72,20.28,-103,0,None,39,None,226
1761047782.291307,44.18749213218689,33.12000000000001,None,73,140,PID,246.88,-106.88,-102,0,None,39,None,227
1761047782.48407,44.38482117652893,106.6,None,74,140,PID,173.4,-33.40000000000001,-105,0,None,39,None,228
1761047782.675135,44.57594299316407,187.44,None,35,140,PID,92.56,47.44,-64,0,None,39,None,229
1761047782.876447,44.76698017120362,73.44,None,68,140,PID,206.56,-66.56000000000001,-94,0,None,39,None,230
1761047783.080288,44.97661805152894,104.92,None,71,140,PID,175.08,-35.08,-147,0,None,39,None,231
1761047783.256731,45.15757703781128,188.16,None,32,140,PID,91.84000000000001,48.16,-106,0,None,39,None,232
1761047783.459248,45.35848999023438,92.4,None,57,140,PID,187.6,-47.60000000000001,-80,0,None,39,None,233
1761047783.660653,45.55633807182312,87.88,None,73,140,PID,192.12,-52.12000000000001,-143,0,None,39,None,234
1761047783.862161,45.75565004348755,232.96,None,10,140,PID,47.04000000000001,92.95999999999999,-146,0,None,39,None,235
1761047784.061407,45.95814609527588,157.48,None,11,140,PID,122.52,17.48,-93,0,None,39,None,236
1761047784.264391,46.16488718986512,111.92,None,35,140,PID,168.08,-28.08,-62,0,None,39,None,237
1761047784.461441,46.35849118232727,153.96,None,28,140,PID,126.04,13.96,-81,0,None,39,None,238
1761047784.658401,46.55646014213562,141.24,None,30,140,PID,138.76,1.24,-89,0,None,39,None,239
1761047784.850873,46.74760103225708,100.4,None,52,140,PID,179.6,-39.6,-70,0,None,39,None,240
1761047785.037762,46.93852615356445,211.32,None,11,140,PID,68.68000000000001,71.32,-7,0,None,39,None,241
1761047785.222858,47.11875605583191,140.8,None,22,140,PID,139.2,0.8000000000000025,10,0,None,39,None,242
1761047785.425819,47.32024121284485,133.76,None,33,140,PID,146.24,-6.239999999999998,54,0,None,39,None,243
1761047785.620722,47.51809310913086,91.32,None,61,140,PID,188.68,-48.68000000000001,63,0,None,39,None,244
1761047785.813138,47.70785713195801,140.12,None,53,140,PID,139.88,0.1199999999999992,43,0,None,39,None,245
1761047786.01912,47.91876101493836,192.4,None,23,140,PID,87.6,52.40000000000001,90,0,None,39,None,246
1761047786.222566,48.11858010292053,117.56,None,43,140,PID,162.44,-22.44,119,0,None,39,None,247
1761047786.416412,48.31697320938111,163.6,None,33,140,PID,116.4,23.6,170,0,None,39,None,248
1761047786.60297,48.49875807762146,81.40000000000001,None,67,140,PID,198.6,-58.59999999999999,115,0,None,39,None,249
1761047786.793784,48.69434809684754,121.52,None,67,140,PID,158.48,-18.48000000000001,98,0,None,39,None,250
1761047786.97739,48.87821698188782,180.56,None,38,140,PID,99.44000000000001,40.56,124,0,None,39,None,251
1761047787.18381,49.07931017875672,89.92000000000001,None,66,140,PID,190.08,-50.08,128,0,None,39,None,252
1761047787.381355,49.27871203422547,162.12,None,47,140,PID,117.88,22.12,143,0,None,39,None,253
1761047787.567192,49.46776008605958,201.52,None,16,140,PID,78.48000000000001,61.52,148,0,None,39,None,254
1761047787.785815,49.67988705635071,68.68000000000001,None,64,140,PID,211.32,-71.32,157,0,None,39,None,255
1761047787.984701,49.88250899314881,104.36,None,75,140,PID,175.64,-35.64,159,0,None,39,None,256
1761047788.185884,50.08639001846314,148.04,None,59,140,PID,131.96,8.039999999999999,121,0,None,39,None,257
1761047788.375481,50.2708101272583,205.52,None,21,140,PID,74.48,65.52000000000001,138,0,None,39,None,258
1761047788.566728,50.46758103370667,48.4,None,77,140,PID,231.6,-91.60000000000002,150,0,None,39,None,259
