timestamp,time,right_speed,iteration,test,reflection,error,correction,left_speed
1758633003.720856,11.82127094268799,90,93,bangbang,8,22,-60,210
1758633003.847064,11.94756603240967,90,94,bangbang,8,22,-60,210
1758633003.976508,12.07470607757569,90,95,bangbang,7,23,-60,210
1758633004.100392,12.20087289810181,90,96,bangbang,7,23,-60,210
1758633004.228322,12.3277108669281,90,97,bangbang,7,23,-60,210
1758633004.354357,12.45483589172363,90,98,bangbang,27,3,-60,210
1758633004.482261,12.58251309394836,210,99,bangbang,72,-42,60,90
1758633004.607584,12.70759201049805,210,100,bangbang,43,-13,60,90
1758633004.731776,12.83189797401428,210,101,bangbang,43,-13,60,90
1758633004.862021,12.9625039100647,210,102,bangbang,68,-38,60,90
1758633004.990983,13.09137988090515,210,103,bangbang,76,-46,60,90
1758633005.116988,13.21733498573303,90,104,bangbang,20,10,-60,210
1758633005.245601,13.34579586982727,90,105,bangbang,9,21,-60,210
1758633005.371536,13.47146606445313,90,106,bangbang,8,22,-60,210
1758633005.498628,13.5958468914032,90,107,bangbang,11,19,-60,210
1758633005.632272,13.73267388343811,90,108,bangbang,18,12,-60,210
1758633005.761932,13.8623058795929,90,109,bangbang,26,4,-60,210
1758633005.886019,13.9865128993988,210,110,bangbang,33,-3,60,90
1758633006.019826,14.11992287635803,210,111,bangbang,34,-4,60,90
1758633006.142714,14.24309086799622,90,112,bangbang,8,22,-60,210
1758633006.269713,14.36994504928589,90,113,bangbang,7,23,-60,210
1758633006.392611,14.49299502372742,90,114,bangbang,7,23,-60,210
1758633006.522051,14.62254095077515,90,115,bangbang,10,20,-60,210
1758633006.64634,14.74665093421936,90,116,bangbang,10,20,-60,210
1758633006.774571,14.87288689613342,90,117,bangbang,9,21,-60,210
1758633006.901776,15.0018298625946,90,118,bangbang,8,22,-60,210
1758633007.039052,15.13953900337219,90,119,bangbang,15,15,-60,210
1758633007.172358,15.27180886268616,210,120,bangbang,66,-36,60,90
1758633007.299561,15.39962601661682,210,121,bangbang,68,-38,60,90
1758633007.424378,15.52284407615662,210,122,bangbang,67,-37,60,90
1758633007.559093,15.65958189964294,210,123,bangbang,68,-38,60,90
1758633007.6855,15.7856969833374,210,124,bangbang,67,-37,60,90
1758633007.810267,15.91076803207398,210,125,bangbang,59,-29,60,90
1758633007.934413,16.03390789031983,210,126,bangbang,32,-2,60,90
1758633008.061058,16.16146206855774,90,127,bangbang,15,15,-60,210
1758633008.186904,16.28730392456055,90,128,bangbang,7,23,-60,210
1758633008.310303,16.41080904006958,210,129,bangbang,35,-5,60,90
1758633008.439401,16.53948998451233,210,130,bangbang,65,-35,60,90
1758633008.56259,16.6629650592804,210,131,bangbang,61,-31,60,90
1758633008.68697,16.78746104240417,210,132,bangbang,39,-9,60,90
1758633008.809467,16.90966296195984,90,133,bangbang,18,12,-60,210
1758633008.938479,17.03800487518311,90,134,bangbang,9,21,-60,210
1758633009.069951,17.17029905319214,210,135,bangbang,53,-23,60,90
1758633009.196493,17.29673004150391,210,136,bangbang,69,-39,60,90
1758633009.321344,17.42160296440125,210,137,bangbang,69,-39,60,90
1758633009.444618,17.54499006271362,210,138,bangbang,69,-39,60,90
1758633009.573708,17.67367792129517,210,139,bangbang,50,-20,60,90
1758633009.696006,17.7963080406189,90,140,bangbang,16,14,-60,210
1758633009.819462,17.91967391967773,90,141,bangbang,8,22,-60,210
1758633009.944218,18.04463386535645,210,142,bangbang,47,-17,60,90
1758633010.07003,18.17050194740295,210,143,bangbang,70,-40,60,90
1758633010.196728,18.29689908027649,210,144,bangbang,68,-38,60,90
1758633010.320782,18.41954302787781,210,145,bangbang,59,-29,60,90
1758633010.450633,18.55080699920654,210,146,bangbang,31,-1,60,90
1758633010.578171,18.67765998840332,90,147,bangbang,11,19,-60,210
1758633010.7023,18.80080795288086,90,148,bangbang,7,23,-60,210
1758633010.824516,18.92501592636108,210,149,bangbang,34,-4,60,90
1758633010.954873,19.05522203445435,210,150,bangbang,69,-39,60,90
1758633011.07939,19.17676997184754,210,151,bangbang,70,-40,60,90
1758633011.204372,19.30471587181091,210,152,bangbang,63,-33,60,90
1758633011.339581,19.43980097770691,210,153,bangbang,33,-3,60,90
1758633011.469985,19.57044291496277,90,154,bangbang,11,19,-60,210
1758633011.595092,19.69548106193542,90,155,bangbang,8,22,-60,210
1758633011.72276,19.82323694229126,210,156,bangbang,35,-5,60,90
1758633011.851022,19.95123386383057,210,157,bangbang,68,-38,60,90
1758633011.976514,20.0768039226532,210,158,bangbang,70,-40,60,90
1758633012.110461,20.21096301078797,210,159,bangbang,66,-36,60,90
1758633012.239968,20.34045886993408,90,160,bangbang,28,2,-60,210
1758633012.364325,20.46458792686463,90,161,bangbang,12,18,-60,210
1758633012.488933,20.58943295478821,210,162,bangbang,59,-29,60,90
1758633012.615954,20.714439868927,210,163,bangbang,63,-33,60,90
1758633012.742726,20.8428418636322,210,164,bangbang,64,-34,60,90
1758633012.868232,20.96564888954163,210,165,bangbang,66,-36,60,90
1758633012.99241,21.09281897544861,210,166,bangbang,62,-32,60,90
1758633013.11415,21.21456503868103,210,167,bangbang,44,-14,60,90
1758633013.2417,21.34186601638794,90,168,bangbang,20,10,-60,210
1758633013.366468,21.46678400039673,90,169,bangbang,8,22,-60,210
1758633013.49256,21.59296894073486,210,170,bangbang,49,-19,60,90
1758633013.621881,21.72205591201782,210,171,bangbang,65,-35,60,90
1758633013.745075,21.84548592567444,210,172,bangbang,64,-34,60,90
1758633013.873642,21.97380208969116,210,173,bangbang,65,-35,60,90
1758633013.998447,22.0979859828949,210,174,bangbang,44,-14,60,90
1758633014.124553,22.22504901885987,90,175,bangbang,22,8,-60,210
1758633014.248637,22.34861397743225,90,176,bangbang,10,20,-60,210
1758633014.380466,22.48095488548279,210,177,bangbang,55,-25,60,90
1758633014.50226,22.60265588760376,210,178,bangbang,64,-34,60,90
1758633014.632259,22.73262786865235,210,179,bangbang,65,-35,60,90
1758633014.755938,22.85627198219299,210,180,bangbang,67,-37,60,90
1758633014.880182,22.9804539680481,210,181,bangbang,64,-34,60,90
1758633015.004519,23.1050169467926,210,182,bangbang,46,-16,60,90
1758633015.133682,23.23096299171448,90,183,bangbang,20,10,-60,210
1758633015.264617,23.36508893966675,90,184,bangbang,9,21,-60,210
1758633015.388281,23.48749995231628,210,185,bangbang,50,-20,60,90
1758633015.526982,23.62745594978333,210,186,bangbang,65,-35,60,90
1758633015.66198,23.76202702522278,210,187,bangbang,66,-36,60,90
1758633015.784268,23.8846960067749,210,188,bangbang,64,-34,60,90
1758633015.912115,24.01242804527283,210,189,bangbang,45,-15,60,90
1758633016.034435,24.13491988182068,90,190,bangbang,13,17,-60,210
1758633016.162617,24.26301288604737,90,191,bangbang,8,22,-60,210
1758633016.290854,24.39125299453735,210,192,bangbang,54,-24,60,90
1758633016.413857,24.51392889022827,210,193,bangbang,63,-33,60,90
1758633016.541077,24.64146494865417,210,194,bangbang,63,-33,60,90
1758633016.66685,24.76464700698853,210,195,bangbang,59,-29,60,90
1758633016.790405,24.89089989662171,210,196,bangbang,39,-9,60,90
1758633016.912474,25.01286506652832,90,197,bangbang,18,12,-60,210
1758633017.040367,25.14083790779114,90,198,bangbang,8,22,-60,210
1758633017.18151,25.28164196014405,210,199,bangbang,51,-21,60,90
